"PermissionType","ClientObjectId","ClientDisplayName","ResourceObjectId","ResourceDisplayName","Permission","ConsentType","PrincipalObjectId","PrincipalDisplayName"
"Application","fc565bb6-8abd-412f-a810-1b4dad54e529","Okta Microsoft Graph Client","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","User.ReadWrite.All",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","62ca8cac-7063-4a69-9686-3e2ffa2b4188","Windows Azure Active Directory","Directory.Read.All",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","5d8507c2-80e4-4a43-a96b-ce0dea3a1972","Office 365 SharePoint Online","Sites.ReadWrite.All",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","d8faf315-2323-468d-8eae-1da9528b0f56","Office 365 Management APIs","ActivityFeed.ReadDlp",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","d8faf315-2323-468d-8eae-1da9528b0f56","Office 365 Management APIs","ServiceHealth.Read",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","d8faf315-2323-468d-8eae-1da9528b0f56","Office 365 Management APIs","ActivityFeed.Read",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","c923f01b-5eab-47ab-b29d-bf4f18f15d19","Office 365 Exchange Online","Mail.ReadWrite",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","Mail.ReadWrite",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","Device.ReadWrite.All",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","User.ReadWrite.All",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","SecurityEvents.Read.All",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","Group.Read.All",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","Directory.ReadWrite.All",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","MailboxSettings.Read",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","Files.ReadWrite.All",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","Directory.Read.All",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","User.Read.All",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","Mail.Send",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","MailboxSettings.ReadWrite",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","IdentityRiskEvent.Read.All",,,
"Application","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","AuditLog.Read.All",,,
"Application","999d92be-8b97-46d2-ada8-879bb40420ce","Partner Center Web App","62ca8cac-7063-4a69-9686-3e2ffa2b4188","Windows Azure Active Directory","Directory.Read.All",,,
"Application","96a1db66-f026-4008-a6fb-c249551800e4","post_man","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","User.ReadWrite.All",,,
"Application","96a1db66-f026-4008-a6fb-c249551800e4","post_man","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","Directory.Read.All",,,
"Application","96a1db66-f026-4008-a6fb-c249551800e4","post_man","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","User.Read.All",,,
"Application","96a1db66-f026-4008-a6fb-c249551800e4","post_man","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","AuditLog.Read.All",,,
"Application","96a1db66-f026-4008-a6fb-c249551800e4","post_man","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","Reports.Read.All",,,
"Application","7ad9967a-21fc-400e-8e2f-0e24265e1ee4","Duo Azure AD Sync","62ca8cac-7063-4a69-9686-3e2ffa2b4188","Windows Azure Active Directory","Directory.Read.All",,,
"Application","eb17ff1e-a1e8-4f7f-acb4-c2d5ba18a869","CIOTechWebAPI","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","Reports.Read.All",,,
